w_geocode,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05,createdate
090010101011001,21,1,10,10,3,6,12,0,0,0,0,0,1,10,0,0,0,0,0,2,0,0,0,0,0,8,0,17,2,1,0,0,1,12,9,5,4,6,5,10,11,2,0,0,1,18,21,0,0,0,0,20190825
090010101011007,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,20190825
090010101011009,4,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,4,0,0,1,0,3,2,2,1,0,0,3,0,4,0,0,0,0,20190825
090010101011010,3,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,2,1,0,0,1,0,2,0,0,3,0,0,20190825
090010101011012,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,20190825
090010101012001,11,2,6,3,5,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,5,0,7,1,0,3,0,0,8,3,3,1,2,3,4,7,1,0,2,0,8,11,0,0,0,0,20190825
090010101012009,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,1,1,2,0,0,0,0,20190825
090010101012010,70,15,37,18,26,25,19,0,0,0,0,0,0,60,0,0,0,0,2,0,1,0,0,0,7,0,0,51,14,2,2,0,1,65,5,5,23,12,15,39,31,0,0,6,4,60,20,0,0,0,50,20190825
090010101012012,8,6,1,1,5,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,5,1,0,0,1,6,2,4,0,0,3,1,7,0,0,0,1,20190825
090010101012013,12,0,8,4,2,4,6,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,8,0,0,4,0,0,11,1,1,2,2,7,7,5,0,0,5,0,7,12,0,0,0,0,20190825
090010101012014,9,0,5,4,1,3,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,6,3,1,3,4,1,6,3,0,0,0,0,9,9,0,0,0,0,20190825
090010101012016,7,0,3,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,0,0,0,1,6,1,1,1,2,3,1,6,2,0,0,0,5,6,0,0,0,1,20190825
090010101013000,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,2,0,0,0,0,2,0,2,0,0,0,0,20190825
090010101013002,35,0,16,19,2,25,8,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,18,0,0,14,0,30,1,0,4,0,0,23,12,7,6,8,14,4,31,1,1,2,4,27,33,0,2,0,0,20190825
090010101013006,6,1,4,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5,1,0,0,0,0,2,4,0,0,4,1,0,6,0,1,0,4,1,6,0,0,0,0,20190825
090010101013011,6,3,2,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,4,2,2,0,0,1,6,0,0,0,3,0,3,6,0,0,0,0,20190825
090010101013013,22,3,9,10,1,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,0,0,2,0,0,14,8,3,5,2,9,6,16,0,0,0,0,22,22,0,0,0,0,20190825
090010101013014,38,1,26,11,3,11,24,0,0,0,0,0,2,0,0,0,3,0,0,0,15,0,0,0,0,18,0,31,5,1,1,0,0,22,16,7,6,7,17,18,20,1,0,3,5,29,34,3,0,0,1,20190825
090010101013015,4,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,1,3,1,1,2,0,2,2,0,0,0,0,4,4,0,0,0,0,20190825
090010101013018,10,2,5,3,0,1,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,8,2,0,1,1,6,6,4,0,0,0,7,3,2,8,0,0,0,20190825
090010101013021,6,2,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,2,0,2,0,6,0,0,0,0,6,6,0,0,0,0,20190825
090010101013022,16,6,8,2,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,1,2,0,0,10,6,2,2,4,2,12,4,0,2,0,0,14,16,0,0,0,0,20190825
090010101013025,5,0,3,2,0,3,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,1,0,1,0,4,2,3,0,0,0,4,1,4,0,0,0,1,20190825
090010101013027,6,0,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,1,0,1,0,0,4,2,2,1,1,2,0,6,0,0,0,0,6,6,0,0,0,0,20190825
090010101013028,25,4,12,9,1,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,21,1,0,1,0,2,17,8,4,3,5,9,14,11,0,0,0,0,25,25,0,0,0,0,20190825
090010101013029,16,0,8,8,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,2,0,1,0,0,13,3,3,1,2,10,7,9,1,0,14,0,1,2,14,0,0,0,20190825
090010101013030,11,1,8,2,1,2,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,8,1,0,2,0,0,8,3,3,0,4,3,1,10,0,3,0,0,8,11,0,0,0,0,20190825
090010101013034,27,1,16,10,3,8,16,0,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,2,0,17,0,22,4,1,0,0,0,15,12,4,6,6,10,9,18,5,1,3,1,17,26,0,1,0,0,20190825
090010101013041,6,0,3,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,4,2,0,1,4,1,2,4,1,0,0,0,5,6,0,0,0,0,20190825
090010101013042,144,24,77,43,26,31,87,0,0,0,0,0,6,0,0,0,0,0,3,1,6,0,0,85,0,43,0,121,12,2,6,0,3,107,37,16,23,25,56,71,73,9,0,1,19,115,50,1,93,0,0,20190825
090010101013043,7,0,4,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,7,0,0,0,0,0,6,1,0,1,3,3,3,4,2,0,0,0,5,7,0,0,0,0,20190825
090010101013049,3,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,2,1,0,0,1,2,1,2,0,0,0,0,3,3,0,0,0,0,20190825
090010101013051,6,0,5,1,2,1,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,1,0,3,1,2,5,1,0,0,0,0,6,5,0,0,0,1,20190825
090010101013055,9,0,2,7,2,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,2,0,2,0,0,5,4,1,3,4,1,2,7,1,2,0,0,6,8,0,1,0,0,20190825
090010101014001,29,9,14,6,8,5,16,0,0,0,0,0,0,0,0,12,6,0,0,3,0,0,0,0,0,8,0,28,0,0,1,0,0,25,4,2,3,4,11,14,15,2,6,12,0,9,28,0,0,0,1,20190825
090010101014004,5,0,4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,1,1,1,0,3,0,5,0,0,0,1,4,5,0,0,0,0,20190825
090010101014006,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,20190825
090010101014008,4,0,3,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,3,1,0,2,1,1,1,3,2,0,0,0,2,4,0,0,0,0,20190825
090010101014009,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,20190825
090010101014010,97,14,56,27,7,33,57,0,0,0,5,0,0,0,0,0,0,0,0,0,6,1,0,85,0,0,0,85,8,3,0,1,0,49,48,18,15,26,24,74,23,0,1,0,5,91,10,0,87,0,0,20190825
090010101014012,3,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,2,1,1,0,0,1,1,2,0,0,0,0,3,2,0,0,0,1,20190825
090010101014013,602,75,476,51,17,17,568,0,0,0,0,0,0,4,0,535,31,0,30,0,0,0,0,1,1,0,0,479,16,1,89,0,17,560,42,23,66,100,338,453,149,1,1,0,30,570,3,56,7,1,535,20190825
090010101014014,3,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,20190825
090010101014020,2,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,2,2,0,0,0,0,20190825
090010101014022,3,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,1,1,2,0,0,0,0,3,3,0,0,0,0,20190825
090010101014023,46,3,22,21,19,17,10,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,40,0,0,1,0,15,29,0,0,0,2,42,4,6,8,20,9,4,42,0,2,3,0,41,7,38,0,0,1,20190825
090010101014026,12,1,7,4,1,7,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,12,0,0,0,0,0,5,7,4,2,1,4,6,6,0,1,0,4,7,12,0,0,0,0,20190825
090010101014035,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,2,2,0,0,0,0,20190825
090010101014037,591,54,373,164,55,164,372,0,0,0,0,0,0,0,0,0,263,0,0,0,2,0,311,0,10,5,0,346,189,5,46,0,5,520,71,77,105,131,224,252,339,0,3,0,3,585,7,10,1,524,49,20190825
090010101014038,34,2,30,2,2,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,31,2,0,1,0,0,17,17,6,8,4,14,25,9,0,0,0,0,34,0,34,0,0,0,20190825
090010101014039,169,18,96,55,15,15,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,4,0,0,158,5,0,5,0,1,156,13,16,32,32,71,42,127,0,0,0,0,169,0,0,164,0,5,20190825
090010101014045,13,10,1,2,8,3,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,13,0,1,0,0,2,7,6,0,0,0,0,13,13,0,0,0,0,20190825
090010101014046,126,19,70,37,30,62,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,108,0,17,0,0,54,69,0,1,0,2,106,20,27,22,31,27,38,88,3,0,102,0,21,5,0,100,0,21,20190825
090010101014049,12,0,7,5,4,6,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,10,2,0,0,0,0,9,3,1,6,4,1,8,4,1,0,0,0,11,12,0,0,0,0,20190825
090010101014050,3,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,2,1,1,1,1,0,0,3,0,1,0,0,2,3,0,0,0,0,20190825
090010101021000,7,4,1,2,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,4,3,2,1,0,0,2,5,0,0,0,7,0,7,0,0,0,0,20190825
090010101021001,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,20190825
090010101021002,4,1,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,3,1,0,1,0,2,2,2,0,1,1,0,2,3,0,1,0,0,20190825
090010101021003,18,1,10,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,1,2,0,0,12,6,2,6,4,5,12,6,0,0,0,0,18,17,0,0,0,1,20190825
090010101021006,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,20190825
090010101021007,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,20190825
090010101021008,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,20190825
090010101021011,3,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,1,0,1,0,2,2,1,0,1,0,0,2,3,0,0,0,0,20190825
090010101021015,4,0,3,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,3,1,0,1,3,0,0,0,0,4,3,0,0,0,1,20190825
090010101021016,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,1,0,3,1,0,2,1,1,0,4,0,0,0,1,3,4,0,0,0,0,20190825
090010101021017,4,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,1,0,4,2,1,1,0,2,2,0,0,0,0,4,4,0,0,0,0,20190825
090010101021019,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,2,2,0,0,0,0,20190825
090010101021020,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,20190825
090010101021021,3,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,1,2,0,0,1,0,0,3,0,0,0,3,0,3,0,0,0,0,20190825
090010101021023,6,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,6,0,0,0,0,0,4,2,1,1,0,4,0,6,0,0,0,0,6,1,5,0,0,0,20190825
090010101021024,11,0,5,6,1,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0,5,0,8,0,0,2,0,1,8,3,2,3,1,5,2,9,1,0,0,8,2,10,1,0,0,0,20190825
090010101021027,6,0,5,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,4,2,2,0,3,1,1,5,0,0,0,1,5,6,0,0,0,0,20190825
090010101021029,72,22,35,15,7,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,59,8,1,3,0,1,41,31,18,7,14,11,50,22,0,0,0,0,72,0,72,0,0,0,20190825
090010101021030,24,0,18,6,5,8,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,0,12,3,0,8,0,1,14,10,6,3,5,10,7,17,3,2,5,7,7,23,0,0,0,1,20190825
090010101022001,6,0,2,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,5,1,1,4,1,0,2,4,1,4,0,0,1,6,0,0,0,0,20190825
090010101022004,14,1,4,9,0,6,8,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,1,0,11,1,0,2,0,0,12,2,2,2,4,5,8,6,0,0,1,6,7,10,0,0,4,0,20190825
090010101022008,95,8,57,30,4,40,51,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,3,0,9,0,1,75,20,17,24,22,24,63,32,0,0,0,0,95,0,0,93,0,2,20190825
090010101022012,12,0,7,5,2,2,8,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,6,0,12,0,0,0,0,0,9,3,1,3,3,5,4,8,6,0,1,2,3,11,0,0,0,1,20190825
090010101022015,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,2,2,0,0,0,0,20190825
090010101022017,5,0,4,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,3,2,0,0,0,0,3,2,3,1,0,1,2,3,0,0,2,0,3,5,0,0,0,0,20190825
090010101022021,7,0,3,4,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,2,3,0,1,0,1,7,0,0,2,3,2,0,7,4,0,0,0,3,7,0,0,0,0,20190825
090010101022022,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,0,2,0,0,0,0,2,2,0,0,0,0,20190825
090010101022025,13,1,4,8,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,5,4,0,4,0,0,7,6,3,3,5,1,2,11,1,0,0,5,7,11,0,0,0,2,20190825
090010101022031,7,0,5,2,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,1,0,1,2,5,2,1,0,4,2,5,0,0,2,1,4,7,0,0,0,0,20190825
090010101022032,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,20190825
090010101022033,9,0,5,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,1,0,1,0,0,7,2,2,3,1,3,1,8,1,0,0,2,6,9,0,0,0,0,20190825
090010101022034,6,0,2,4,0,1,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,4,0,0,2,0,0,5,1,0,2,0,4,3,3,0,1,0,3,2,5,0,1,0,0,20190825
090010101022035,4,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,4,0,1,1,1,1,1,3,0,0,0,0,4,4,0,0,0,0,20190825
090010101022036,46,1,30,15,3,13,30,0,0,0,9,0,0,0,0,1,2,10,1,0,0,1,0,0,0,22,0,35,4,2,5,0,0,34,12,6,12,15,12,20,26,2,12,9,7,16,46,0,0,0,0,20190825
090010101022042,4,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,2,2,0,1,1,2,0,4,0,0,0,3,1,4,0,0,0,0,20190825
090010101022044,35,1,19,15,2,4,29,0,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,30,4,0,1,0,0,30,5,7,4,10,13,23,12,0,0,0,6,29,9,0,0,26,0,20190825
090010101023000,157,33,77,47,15,48,94,43,0,0,11,0,0,0,0,0,1,0,0,2,8,0,0,91,0,1,0,133,12,1,7,0,4,109,48,19,35,33,37,103,54,0,0,9,3,145,22,0,135,0,0,20190825
090010101023004,8,0,8,0,0,3,5,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,5,3,0,5,2,1,4,4,0,2,6,0,0,8,0,0,0,0,20190825
090010101023005,25,8,12,5,6,8,11,0,0,0,5,0,0,9,0,0,4,0,0,0,0,0,0,0,7,0,0,24,0,0,1,0,0,23,2,1,2,3,11,16,9,0,0,9,0,16,20,0,0,0,5,20190825
090010101023006,15,1,6,8,2,4,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,14,0,0,1,0,0,12,3,2,5,3,4,4,11,0,1,0,0,14,15,0,0,0,0,20190825
090010101023007,5,0,3,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,0,3,2,0,3,0,2,1,4,0,0,0,5,0,5,0,0,0,0,20190825
090010101023009,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,20190825
090010101023010,21,1,9,11,1,3,17,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,3,9,0,14,3,0,3,0,1,16,5,4,7,3,6,10,11,1,2,4,6,8,19,0,1,0,1,20190825
090010101023013,11,1,8,2,0,4,7,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,10,0,0,1,0,0,8,3,1,1,2,6,5,6,0,3,0,7,1,11,0,0,0,0,20190825
090010101023018,12,1,2,9,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,2,0,0,8,4,3,3,4,1,7,5,1,0,0,5,6,12,0,0,0,0,20190825
090010101023020,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,20190825
090010101023024,4,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,1,2,1,0,2,2,0,0,0,0,4,4,0,0,0,0,20190825
090010101023026,109,15,78,16,4,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,97,5,0,7,0,0,95,14,14,10,25,45,22,87,0,0,0,0,109,0,0,109,0,0,20190825
090010101023027,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,1,0,0,4,0,0,1,2,1,1,3,0,0,0,0,4,4,0,0,0,0,20190825
090010101023028,32,4,20,8,1,9,22,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,18,0,27,2,0,3,0,0,22,10,8,8,7,5,16,16,0,0,10,7,15,30,0,0,0,2,20190825
090010101023030,3,0,1,2,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,1,1,0,1,1,2,0,0,1,2,0,3,0,0,0,0,20190825
090010101023032,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,0,2,0,0,0,2,0,0,0,0,20190825
090010101023033,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,20190825
090010101023036,10,0,5,5,1,3,6,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,4,0,5,1,0,4,0,0,7,3,1,3,5,1,2,8,0,0,0,6,4,9,0,0,0,1,20190825
090010101023043,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,2,0,0,2,0,0,0,0,20190825
090010101023048,3,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,1,0,2,0,1,2,0,1,0,2,0,3,0,0,0,0,20190825
090010101023050,7,0,5,2,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,5,1,0,1,0,0,6,1,0,2,3,2,3,4,0,1,3,0,3,7,0,0,0,0,20190825
090010101023051,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,1,0,2,0,0,0,0,2,2,0,0,0,0,20190825
090010101023055,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,1,1,0,2,0,0,0,0,2,2,0,0,0,0,20190825
090010101023058,20,0,12,8,3,5,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,14,3,0,3,0,0,11,9,4,11,2,3,7,13,0,5,0,3,12,20,0,0,0,0,20190825
090010101023059,9,0,6,3,2,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,5,2,0,2,0,0,7,2,0,3,3,3,2,7,1,1,0,0,7,8,0,0,0,1,20190825
090010101023061,8,1,3,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,7,0,0,1,0,0,6,2,1,2,1,3,4,4,1,0,0,0,7,8,0,0,0,0,20190825
090010101023063,3,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,2,1,0,0,1,2,0,3,0,0,0,0,3,3,0,0,0,0,20190825
090010101023066,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,2,0,3,0,3,0,0,0,3,0,0,0,0,20190825
090010101023068,16,3,5,8,7,6,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,10,6,3,1,4,5,9,7,0,0,0,0,16,15,0,0,0,1,20190825
090010101023072,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,20190825
090010102011000,16,1,12,3,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,10,6,3,5,2,5,6,10,0,1,8,3,4,16,0,0,0,0,20190825
