,id,name,stco,subreg,H_Occ,H_Tot,H_Vac,P_18p,P_Asian,P_Black,P_Hisp,P_NonHisp,P_Other,P_Tot,P_Two,P_White,geotype,yr
30,900537280,"Harwinton town, Litchfield County, Connecticut",9005,CT,2179,2313,134,4371,31,35,172,5312,21,5484,180,5045,municipality,2020
31,900540290,"Kent town, Litchfield County, Connecticut",9005,CT,1285,1687,402,2538,85,31,156,2863,31,3019,130,2586,municipality,2020
32,900543370,"Litchfield town, Litchfield County, Connecticut",9005,CT,3467,3966,499,6859,114,51,276,7916,25,8192,263,7463,municipality,2020
33,900549460,"Morris town, Litchfield County, Connecticut",9005,CT,933,1253,320,1874,14,12,67,2189,6,2256,64,2093,municipality,2020
34,900551350,"New Hartford town, Litchfield County, Connecticut",9005,CT,2681,2968,287,5413,75,18,177,6481,40,6658,243,6105,municipality,2020
35,900552630,"New Milford town, Litchfield County, Connecticut",9005,CT,10994,11928,934,22380,958,639,3241,24874,320,28115,1442,21515,municipality,2020
36,900553470,"Norfolk town, Litchfield County, Connecticut",9005,CT,715,932,217,1329,18,8,48,1540,6,1588,59,1449,municipality,2020
37,900554030,"North Canaan town, Litchfield County, Connecticut",9005,CT,1399,1582,183,2654,15,36,266,2945,16,3211,131,2747,municipality,2020
38,900560750,"Plymouth town, Litchfield County, Connecticut",9005,CT,4856,5151,295,9619,145,141,739,10932,45,11671,544,10057,municipality,2020
39,900565930,"Roxbury town, Litchfield County, Connecticut",9005,CT,979,1163,184,1930,29,9,70,2190,11,2260,88,2053,municipality,2020
40,900566420,"Salisbury town, Litchfield County, Connecticut",9005,CT,1717,2519,802,3431,78,80,197,3997,44,4194,152,3643,municipality,2020
41,900567960,"Sharon town, Litchfield County, Connecticut",9005,CT,1238,1724,486,2338,44,35,98,2582,30,2680,83,2390,municipality,2020
42,900575730,"Thomaston town, Litchfield County, Connecticut",9005,CT,3145,3340,195,6083,91,58,340,7102,40,7442,276,6637,municipality,2020
43,900576570,"Torrington town, Litchfield County, Connecticut",9005,CT,15490,17040,1550,28966,891,1060,5433,30082,226,35515,1597,26308,municipality,2020
44,900579510,"Warren town, Litchfield County, Connecticut",9005,CT,580,790,210,1106,14,1,56,1295,12,1351,57,1211,municipality,2020
45,900579720,"Washington town, Litchfield County, Connecticut",9005,CT,1526,2056,530,3033,49,24,219,3427,29,3646,108,3217,municipality,2020
46,900580490,"Watertown town, Litchfield County, Connecticut",9005,CT,8742,9137,395,17955,399,399,1390,20715,145,22105,651,19121,municipality,2020
47,900586440,"Winchester town, Litchfield County, Connecticut",9005,CT,4661,5405,744,8553,124,116,684,9540,65,10224,423,8812,municipality,2020
48,900587910,"Woodbury town, Litchfield County, Connecticut",9005,CT,4251,4584,333,8154,141,108,454,9269,76,9723,335,8609,municipality,2020
49,900900000,"County subdivisions not defined, New Haven County, Connecticut",9009,CT,0,0,0,0,0,0,0,0,0,0,0,0,municipality,2020
50,900901220,"Ansonia town, New Haven County, Connecticut",9009,CT,7570,8104,534,14944,382,2474,4493,14425,141,18918,740,10688,municipality,2020
51,900903250,"Beacon Falls town, New Haven County, Connecticut",9009,CT,2485,2618,133,4884,84,124,413,5587,52,6000,201,5126,municipality,2020
52,900904580,"Bethany town, New Haven County, Connecticut",9009,CT,1948,2039,91,4255,248,101,182,5115,28,5297,177,4561,municipality,2020
53,900907310,"Branford town, New Haven County, Connecticut",9009,CT,13069,14180,1111,24215,1311,654,1862,26411,172,28273,847,23427,municipality,2020
54,900914160,"Cheshire town, New Haven County, Connecticut",9009,CT,10041,10401,360,22743,1788,1226,1818,26915,119,28733,900,22882,municipality,2020
55,900919550,"Derby town, New Haven County, Connecticut",9009,CT,5408,5759,351,9986,336,1373,2544,9781,87,12325,390,7595,municipality,2020
56,900922910,"East Haven town, New Haven County, Connecticut",9009,CT,11635,12394,759,23293,1066,1262,5054,22869,141,27923,744,19656,municipality,2020
57,900934950,"Guilford town, New Haven County, Connecticut",9009,CT,8813,9693,880,17617,781,202,1135,20938,74,22073,796,19085,municipality,2020
58,900935650,"Hamden town, New Haven County, Connecticut",9009,CT,23988,25984,1996,50658,3447,14834,7836,53333,505,61169,2163,32384,municipality,2020
59,900944560,"Madison town, New Haven County, Connecticut",9009,CT,6987,8060,1073,14170,562,127,641,17050,83,17691,573,15705,municipality,2020
60,900946520,"Meriden town, New Haven County, Connecticut",9009,CT,24346,26177,1831,47541,1311,5565,22295,38555,404,60850,2171,29104,municipality,2020
61,900946940,"Middlebury town, New Haven County, Connecticut",9009,CT,2859,3047,188,5926,377,67,332,7242,34,7574,204,6560,municipality,2020
62,900947535,"Milford town, New Haven County, Connecticut",9009,CT,22338,23749,1411,43544,2840,1531,4111,47933,334,52044,1811,41417,municipality,2020
63,900949950,"Naugatuck town, New Haven County, Connecticut",9009,CT,12432,13239,807,24872,749,2195,4871,26648,599,31519,1739,21366,municipality,2020
64,900952070,"New Haven town, New Haven County, Connecticut",9009,CT,52263,57525,5262,105010,9044,40788,41068,92955,1273,134023,4840,37010,municipality,2020
65,900953890,"North Branford town, New Haven County, Connecticut",9009,CT,5323,5633,310,11085,234,145,670,12874,40,13544,318,12137,municipality,2020
66,900954870,"North Haven town, New Haven County, Connecticut",9009,CT,9546,9981,435,19771,1468,889,1490,22763,136,24253,639,19631,municipality,2020
67,900957600,"Orange town, New Haven County, Connecticut",9009,CT,5282,5480,198,11239,1458,259,715,13565,69,14280,453,11326,municipality,2020
68,900958300,"Oxford town, New Haven County, Connecticut",9009,CT,4774,5022,248,10182,218,128,681,12025,57,12706,368,11254,municipality,2020
69,900962290,"Prospect town, New Haven County, Connecticut",9009,CT,3627,3762,135,7583,94,206,426,8975,45,9401,299,8331,municipality,2020
70,900967610,"Seymour town, New Haven County, Connecticut",9009,CT,6779,7112,333,13486,421,668,1752,14996,92,16748,517,13298,municipality,2020
71,900969640,"Southbury town, New Haven County, Connecticut",9009,CT,8587,9270,683,16530,556,200,830,19049,96,19879,572,17625,municipality,2020
72,900978740,"Wallingford town, New Haven County, Connecticut",9009,CT,18104,18938,834,36256,1809,842,4770,39626,235,44396,1343,35397,municipality,2020
73,900980070,"Waterbury town, New Haven County, Connecticut",9009,CT,44425,48392,3967,86056,2349,22269,45281,69122,2137,114403,4607,37760,municipality,2020
74,900982870,"West Haven town, New Haven County, Connecticut",9009,CT,21409,22735,1326,45116,2609,11485,13177,42407,477,55584,1876,25960,municipality,2020
75,900987560,"Wolcott town, New Haven County, Connecticut",9009,CT,6141,6408,267,13063,250,395,1087,15055,102,16142,530,13778,municipality,2020
76,900987700,"Woodbridge town, New Haven County, Connecticut",9009,CT,3258,3476,218,6969,1203,264,547,8540,81,9087,367,6625,municipality,2020
77,3400300700,"Allendale borough, Bergen County, New Jersey",34003,INJ,2327,2450,123,5219,837,42,456,6392,25,6848,227,5261,municipality,2020
78,3400301090,"Alpine borough, Bergen County, New Jersey",34003,INJ,587,676,89,1403,593,54,121,1641,5,1762,40,949,municipality,2020
79,3400305170,"Bergenfield borough, Bergen County, New Jersey",34003,INJ,9097,9387,290,21956,7222,1894,9121,19200,274,28321,532,9278,municipality,2020
80,3400306490,"Bogota borough, Bergen County, New Jersey",34003,INJ,2939,3026,87,6984,748,585,4506,4272,110,8778,215,2614,municipality,2020
81,3400310480,"Carlstadt borough, Bergen County, New Jersey",34003,INJ,2429,2563,134,5202,608,132,1582,4790,51,6372,144,3855,municipality,2020
82,3400313570,"Cliffside Park borough, Bergen County, New Jersey",34003,INJ,10735,11435,700,21106,3784,656,8954,16739,382,25693,732,11185,municipality,2020
83,3400313810,"Closter borough, Bergen County, New Jersey",34003,INJ,2762,2891,129,6451,3009,83,725,7869,32,8594,249,4496,municipality,2020
84,3400315820,"Cresskill borough, Bergen County, New Jersey",34003,INJ,3015,3157,142,6768,2865,90,630,8525,41,9155,224,5305,municipality,2020
85,3400317530,"Demarest borough, Bergen County, New Jersey",34003,INJ,1598,1680,82,3692,1562,41,270,4711,26,4981,141,2941,municipality,2020
86,3400318400,"Dumont borough, Bergen County, New Jersey",34003,INJ,6408,6572,164,14251,3081,503,3883,13980,107,17863,442,9847,municipality,2020
87,3400319510,"East Rutherford borough, Bergen County, New Jersey",34003,INJ,4306,4585,279,8234,1612,456,2556,7466,129,10022,241,5028,municipality,2020
88,3400320020,"Edgewater borough, Bergen County, New Jersey",34003,INJ,6742,7315,573,11617,5071,772,1959,12377,101,14336,499,5934,municipality,2020
89,3400321300,"Elmwood Park borough, Bergen County, New Jersey",34003,INJ,7652,7949,297,17199,2367,1494,5898,15524,263,21422,472,10928,municipality,2020
90,3400321450,"Emerson borough, Bergen County, New Jersey",34003,INJ,2482,2600,118,5755,709,108,948,6342,19,7290,178,5328,municipality,2020
91,3400321480,"Englewood city, Bergen County, New Jersey",34003,INJ,10909,11563,654,23213,2863,7180,9639,19669,369,29308,760,8497,municipality,2020
92,3400321510,"Englewood Cliffs borough, Bergen County, New Jersey",34003,INJ,1846,1961,115,4229,2534,107,341,5001,21,5342,138,2201,municipality,2020
93,3400322470,"Fair Lawn borough, Bergen County, New Jersey",34003,INJ,12243,12649,406,27012,4468,784,5369,29558,224,34927,777,23305,municipality,2020
94,3400322560,"Fairview borough, Bergen County, New Jersey",34003,INJ,5021,5291,270,11686,694,240,10018,5007,265,15025,295,3513,municipality,2020
95,3400324420,"Fort Lee borough, Bergen County, New Jersey",34003,INJ,18451,19861,1410,33322,16949,1192,5376,34815,266,40191,920,15488,municipality,2020
96,3400324990,"Franklin Lakes borough, Bergen County, New Jersey",34003,INJ,3722,4051,329,8563,1051,172,786,10293,53,11079,262,8755,municipality,2020
97,3400325770,"Garfield city, Bergen County, New Jersey",34003,INJ,11773,12407,634,25237,985,1684,12781,19874,276,32655,531,16398,municipality,2020
98,3400326640,"Glen Rock borough, Bergen County, New Jersey",34003,INJ,3934,4041,107,8691,1617,163,848,11285,26,12133,442,9037,municipality,2020
99,3400328680,"Hackensack city, Bergen County, New Jersey",34003,INJ,19132,20290,1158,37982,4734,9558,19220,26810,504,46030,961,11053,municipality,2020
100,3400330150,"Harrington Park borough, Bergen County, New Jersey",34003,INJ,1594,1643,49,3588,1049,35,299,4442,14,4741,109,3235,municipality,2020
101,3400330420,"Hasbrouck Heights borough, Bergen County, New Jersey",34003,INJ,4535,4715,180,9672,1421,333,2551,9574,81,12125,273,7466,municipality,2020
102,3400330540,"Haworth borough, Bergen County, New Jersey",34003,INJ,1104,1148,44,2553,545,51,191,3152,12,3343,128,2416,municipality,2020
103,3400331920,"Hillsdale borough, Bergen County, New Jersey",34003,INJ,3502,3635,133,7819,742,115,1138,9005,51,10143,236,7861,municipality,2020
104,3400332310,"Ho-Ho-Kus borough, Bergen County, New Jersey",34003,INJ,1416,1473,57,3099,321,26,302,3956,20,4258,114,3475,municipality,2020
105,3400340020,"Leonia borough, Bergen County, New Jersey",34003,INJ,3359,3476,117,7277,3876,202,1669,7635,34,9304,267,3256,municipality,2020
106,3400340680,"Little Ferry borough, Bergen County, New Jersey",34003,INJ,4351,4527,176,9052,2717,469,3468,7519,100,10987,221,4012,municipality,2020
107,3400341100,"Lodi borough, Bergen County, New Jersey",34003,INJ,9971,10414,443,21004,2194,2020,10838,15368,215,26206,526,10413,municipality,2020
108,3400342090,"Lyndhurst township, Bergen County, New Jersey",34003,INJ,9069,9516,447,18388,1587,688,6081,16438,232,22519,543,13388,municipality,2020
109,3400342750,"Mahwah township, Bergen County, New Jersey",34003,INJ,9727,10109,382,21363,2830,686,2204,23283,198,25487,729,18840,municipality,2020
110,3400344880,"Maywood borough, Bergen County, New Jersey",34003,INJ,3717,3829,112,8080,1442,605,2567,7513,96,10080,227,5143,municipality,2020
111,3400346110,"Midland Park borough, Bergen County, New Jersey",34003,INJ,2750,2887,137,5585,241,70,734,6280,40,7014,180,5749,municipality,2020
112,3400347610,"Montvale borough, Bergen County, New Jersey",34003,INJ,3016,3115,99,6492,1324,121,683,7753,18,8436,221,6069,municipality,2020
113,3400347700,"Moonachie borough, Bergen County, New Jersey",34003,INJ,1120,1149,29,2486,351,20,1292,1841,27,3133,52,1391,municipality,2020
114,3400351660,"New Milford borough, Bergen County, New Jersey",34003,INJ,6276,6432,156,13576,3420,796,3304,13619,145,16923,428,8830,municipality,2020
115,3400352320,"North Arlington borough, Bergen County, New Jersey",34003,INJ,6525,6749,224,13447,1173,257,5109,11348,175,16457,498,9245,municipality,2020
116,3400353430,"Northvale borough, Bergen County, New Jersey",34003,INJ,1641,1700,59,3761,1278,55,569,4192,13,4761,132,2714,municipality,2020
117,3400353610,"Norwood borough, Bergen County, New Jersey",34003,INJ,1943,2032,89,4430,1809,74,418,5223,12,5641,132,3196,municipality,2020
118,3400353850,"Oakland borough, Bergen County, New Jersey",34003,INJ,4356,4561,205,9951,605,119,1210,11538,43,12748,401,10370,municipality,2020
119,3400354870,"Old Tappan borough, Bergen County, New Jersey",34003,INJ,1982,2083,101,4550,1600,59,380,5508,18,5888,158,3673,municipality,2020
120,3400354990,"Oradell borough, Bergen County, New Jersey",34003,INJ,2782,2850,68,6295,1277,73,734,7510,46,8244,225,5889,municipality,2020
121,3400355770,"Palisades Park borough, Bergen County, New Jersey",34003,INJ,7314,7668,354,16938,11900,262,4862,15430,109,20292,256,2903,municipality,2020
122,3400355950,"Paramus borough, Bergen County, New Jersey",34003,INJ,8448,8786,338,21591,6966,459,2810,23888,138,26698,769,15556,municipality,2020
123,3400356130,"Park Ridge borough, Bergen County, New Jersey",34003,INJ,3310,3435,125,7111,631,91,936,7947,35,8883,218,6972,municipality,2020
124,3400361680,"Ramsey borough, Bergen County, New Jersey",34003,INJ,5488,5670,182,11422,1134,127,1374,13424,69,14798,383,11711,municipality,2020
125,3400362910,"Ridgefield borough, Bergen County, New Jersey",34003,INJ,4050,4237,187,9330,3319,200,3343,8158,121,11501,237,4281,municipality,2020
126,3400362940,"Ridgefield Park village, Bergen County, New Jersey",34003,INJ,4986,5269,283,10601,1460,649,6189,7035,102,13224,347,4477,municipality,2020
127,3400363000,"Ridgewood village, Bergen County, New Jersey",34003,INJ,8490,8814,324,18458,4556,353,2069,23910,118,25979,1097,17786,municipality,2020
128,3400363360,"River Edge borough, Bergen County, New Jersey",34003,INJ,4191,4337,146,9064,3434,283,1339,10710,58,12049,286,6649,municipality,2020
129,3400363690,"River Vale township, Bergen County, New Jersey",34003,INJ,3536,3644,108,7717,993,117,731,9178,39,9909,273,7756,municipality,2020
130,3400363990,"Rochelle Park township, Bergen County, New Jersey",34003,INJ,2151,2227,76,4811,602,208,1575,4239,31,5814,144,3254,municipality,2020
131,3400364170,"Rockleigh borough, Bergen County, New Jersey",34003,INJ,69,81,12,350,27,10,33,374,1,407,9,327,municipality,2020
132,3400365280,"Rutherford borough, Bergen County, New Jersey",34003,INJ,7061,7370,309,15044,2688,631,3395,15439,157,18834,721,11242,municipality,2020
133,3400365340,"Saddle Brook township, Bergen County, New Jersey",34003,INJ,5378,5618,240,11586,1219,442,2748,11546,70,14294,261,9554,municipality,2020
134,3400365400,"Saddle River borough, Bergen County, New Jersey",34003,INJ,1246,1458,212,2801,451,65,181,3191,27,3372,98,2550,municipality,2020
135,3400368970,"South Hackensack township, Bergen County, New Jersey",34003,INJ,922,950,28,2124,172,135,1256,1445,19,2701,51,1068,municipality,2020
136,3400372360,"Teaneck township, Bergen County, New Jersey",34003,INJ,13784,14430,646,31768,4378,9180,8848,32398,644,41246,1351,16845,municipality,2020
137,3400372420,"Tenafly borough, Bergen County, New Jersey",34003,INJ,4913,5184,271,10863,4711,240,1137,14272,107,15409,495,8719,municipality,2020
138,3400372480,"Teterboro borough, Bergen County, New Jersey",34003,INJ,25,26,1,44,1,7,25,36,0,61,2,26,municipality,2020
139,3400375140,"Upper Saddle River borough, Bergen County, New Jersey",34003,INJ,2658,2785,127,6252,1240,129,579,7774,35,8353,250,6120,municipality,2020
140,3400376400,"Waldwick borough, Bergen County, New Jersey",34003,INJ,3577,3691,114,7680,640,126,1315,8743,37,10058,239,7701,municipality,2020
