id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
34021,"Mercer County, New Jersey",34021,ONJ,37076,56286,58353,246319,304672,1610,7236,144111,county,2020
34023,"Middlesex County, New Jersey",34023,INJ,174301,62024,138338,541671,680009,5821,13589,285936,county,2020
34025,"Monmouth County, New Jersey",34025,ONJ,28594,31075,55060,456610,511670,3861,13878,379202,county,2020
34027,"Morris County, New Jersey",34027,INJ,44819,12488,55405,348188,403593,1934,8821,280126,county,2020
34029,"Ocean County, New Jersey",34029,ONJ,9363,13619,44406,438194,482600,2664,10710,401838,county,2020
34031,"Passaic County, New Jersey",34031,INJ,23914,40615,162368,241448,403816,2545,6758,167616,county,2020
34035,"Somerset County, New Jersey",34035,INJ,50298,23830,40896,230308,271204,1577,6296,148307,county,2020
34037,"Sussex County, New Jersey",34037,ONJ,2403,2206,9902,106543,116445,630,3183,98121,county,2020
34039,"Union County, New Jersey",34039,INJ,25018,87934,141485,299371,440856,4384,11270,170765,county,2020
34041,"Warren County, New Jersey",34041,ONJ,2304,4018,8260,79559,87819,434,2559,70244,county,2020
CT,Connecticut,,CT,71399,164054,270177,1315866,1586043,15353,47452,1017608,subregion,2020
INJ,Inner New Jersey,,INJ,583448,571984,1065979,3132992,4198971,38709,98328,1840523,subregion,2020
LHV,Lower Hudson Valley,,LHV,69100,133951,251984,848244,1100228,9405,25590,610198,subregion,2020
LI,Long Island,,LI,175473,201168,418418,1894878,2313296,18398,48507,1451332,subregion,2020
MHV,Mid Hudson Valley,,MHV,22668,68866,115620,634549,750169,9752,24032,509231,subregion,2020
NYC,New York City,,NYC,1128231,1420017,1905404,5158644,7064048,105365,224240,2280791,subregion,2020
ONJ,Outer New Jersey,,ONJ,84169,109750,183408,1423818,1607226,9650,40000,1180249,subregion,2020
36005CS,BX Central and South,36005,NYC,28957,93554,205338,164856,370194,5492,7344,29509,municipality,2020
36005NE,BX North and East,36005,NYC,6515,100300,65734,150689,216423,3191,5376,35307,municipality,2020
36005W,BX West,36005,NYC,17233,130411,329264,207194,536458,4937,8844,45769,municipality,2020
36047C,BK Central,36047,NYC,19035,291571,45339,433246,478585,6379,26766,89495,municipality,2020
36047E,BK East,36047,NYC,12320,122985,70734,159111,229845,4197,11276,8333,municipality,2020
36047N,BK North,36047,NYC,24632,74437,107150,265580,372730,4594,14146,147771,municipality,2020
36047S,BK Southern,36047,NYC,172701,58818,94659,626887,721546,7429,21016,366923,municipality,2020
36047W,BK West,36047,NYC,66217,36586,73665,264000,337665,2874,11474,146849,municipality,2020
36061E,MN East Side,36061,NYC,48864,10777,28063,319060,347123,2711,10280,246428,municipality,2020
36061L,MN Lower,36061,NYC,67714,15071,44133,249526,293659,2451,9726,154564,municipality,2020
36061U,MN Upper,36061,NYC,30711,118244,207190,268903,476093,4531,14334,101083,municipality,2020
36061WM,MN West Side and Midtown,36061,NYC,48811,23113,49850,295015,344865,3183,11474,208434,municipality,2020
36081NE,QN Northeast,36081,NYC,227045,23483,73155,384198,457353,4465,8141,121064,municipality,2020
36081NW,QN Northwest,36081,NYC,196688,33911,296743,514002,810745,8390,18199,256814,municipality,2020
36081SE,QN Southeast,36081,NYC,61462,228330,73425,381785,455210,17184,23387,51422,municipality,2020
36081SW,QN Southwest,36081,NYC,53089,23247,72731,153430,226161,20550,14967,41577,municipality,2020
36085C,SI Central,36085,NYC,20472,3932,14825,97866,112691,737,1857,70868,municipality,2020
36085N,SI North,36085,NYC,16490,29868,40920,104527,145447,1475,3746,52948,municipality,2020
36085S,SI South,36085,NYC,9275,1379,12486,118769,131255,595,1887,105633,municipality,2020
900104720,"Bethel town, Fairfield County, Connecticut",9001,CT,913,412,1715,14186,15901,314,746,11801,municipality,2020
900108070,"Bridgeport town, Fairfield County, Connecticut",9001,CT,3243,37393,44748,68968,113716,2312,4037,21983,municipality,2020
900108980,"Brookfield town, Fairfield County, Connecticut",9001,CT,706,227,936,12888,13824,143,533,11279,municipality,2020
900118500,"Danbury town, Fairfield County, Connecticut",9001,CT,4308,4452,20168,48080,68248,2231,4209,32880,municipality,2020
900118850,"Darien town, Fairfield County, Connecticut",9001,CT,821,112,797,13871,14668,67,365,12506,municipality,2020
900123890,"Easton town, Fairfield County, Connecticut",9001,CT,251,80,289,5501,5790,34,147,4989,municipality,2020
900126620,"Fairfield town, Fairfield County, Connecticut",9001,CT,2154,860,3406,44297,47703,313,1195,39775,municipality,2020
900133620,"Greenwich town, Fairfield County, Connecticut",9001,CT,3576,906,5654,42285,47939,479,1587,35737,municipality,2020
900148620,"Monroe town, Fairfield County, Connecticut",9001,CT,477,293,975,13574,14549,81,349,12374,municipality,2020
900150580,"New Canaan town, Fairfield County, Connecticut",9001,CT,809,160,685,13889,14574,59,343,12518,municipality,2020
900150860,"New Fairfield town, Fairfield County, Connecticut",9001,CT,207,111,765,9964,10729,83,249,9314,municipality,2020
900152980,"Newtown town, Fairfield County, Connecticut",9001,CT,583,498,1184,20111,21295,114,556,18360,municipality,2020
900156060,"Norwalk town, Fairfield County, Connecticut",9001,CT,3900,8760,19680,53002,72682,499,1680,38163,municipality,2020
900163480,"Redding town, Fairfield County, Connecticut",9001,CT,191,55,287,6631,6918,47,172,6166,municipality,2020
900163970,"Ridgefield town, Fairfield County, Connecticut",9001,CT,890,181,932,17727,18659,123,452,16081,municipality,2020
900168170,"Shelton town, Fairfield County, Connecticut",9001,CT,1429,1335,2799,30940,33739,240,760,27176,municipality,2020
900168310,"Sherman town, Fairfield County, Connecticut",9001,CT,32,24,102,2823,2925,6,87,2674,municipality,2020
900173070,"Stamford town, Fairfield County, Connecticut",9001,CT,9252,12819,27527,81188,108715,797,2447,55873,municipality,2020
900174190,"Stratford town, Fairfield County, Connecticut",9001,CT,1059,6895,7644,34332,41976,362,1245,24771,municipality,2020
900177200,"Trumbull town, Fairfield County, Connecticut",9001,CT,1728,1148,2237,25530,27767,204,681,21769,municipality,2020
900183430,"Weston town, Fairfield County, Connecticut",9001,CT,409,105,375,7095,7470,44,237,6300,municipality,2020
900183500,"Westport town, Fairfield County, Connecticut",9001,CT,1245,267,1009,18934,19943,93,529,16800,municipality,2020
900186370,"Wilton town, Fairfield County, Connecticut",9001,CT,1086,151,579,12861,13440,64,383,11177,municipality,2020
900502760,"Barkhamsted town, Litchfield County, Connecticut",9005,CT,22,7,56,2908,2964,11,91,2777,municipality,2020
900504930,"Bethlehem town, Litchfield County, Connecticut",9005,CT,20,24,63,2791,2854,15,72,2660,municipality,2020
900508210,"Bridgewater town, Litchfield County, Connecticut",9005,CT,8,14,37,1418,1455,9,54,1333,municipality,2020
900510940,"Canaan town, Litchfield County, Connecticut",9005,CT,1,15,33,865,898,7,12,830,municipality,2020
900516050,"Colebrook town, Litchfield County, Connecticut",9005,CT,2,3,22,1138,1160,8,43,1082,municipality,2020
900517240,"Cornwall town, Litchfield County, Connecticut",9005,CT,17,0,40,1315,1355,6,38,1254,municipality,2020
900532290,"Goshen town, Litchfield County, Connecticut",9005,CT,28,16,88,2519,2607,4,67,2404,municipality,2020
900537280,"Harwinton town, Litchfield County, Connecticut",9005,CT,31,25,114,4257,4371,11,111,4079,municipality,2020
900540290,"Kent town, Litchfield County, Connecticut",9005,CT,65,26,110,2428,2538,23,88,2226,municipality,2020
900543370,"Litchfield town, Litchfield County, Connecticut",9005,CT,93,34,186,6673,6859,23,184,6339,municipality,2020
900549460,"Morris town, Litchfield County, Connecticut",9005,CT,10,8,39,1835,1874,6,49,1762,municipality,2020
900551350,"New Hartford town, Litchfield County, Connecticut",9005,CT,60,18,112,5301,5413,33,156,5034,municipality,2020
900552630,"New Milford town, Litchfield County, Connecticut",9005,CT,761,484,2238,20142,22380,223,1014,17660,municipality,2020
900553470,"Norfolk town, Litchfield County, Connecticut",9005,CT,18,8,27,1302,1329,4,32,1240,municipality,2020
900554030,"North Canaan town, Litchfield County, Connecticut",9005,CT,13,26,192,2462,2654,11,98,2314,municipality,2020
900560750,"Plymouth town, Litchfield County, Connecticut",9005,CT,101,113,454,9165,9619,33,392,8526,municipality,2020
900565930,"Roxbury town, Litchfield County, Connecticut",9005,CT,29,9,48,1882,1930,9,64,1771,municipality,2020
900566420,"Salisbury town, Litchfield County, Connecticut",9005,CT,51,53,138,3293,3431,34,104,3051,municipality,2020
900567960,"Sharon town, Litchfield County, Connecticut",9005,CT,34,34,79,2259,2338,24,63,2104,municipality,2020
900575730,"Thomaston town, Litchfield County, Connecticut",9005,CT,61,52,209,5874,6083,35,194,5532,municipality,2020
900576570,"Torrington town, Litchfield County, Connecticut",9005,CT,707,834,3489,25477,28966,173,1059,22704,municipality,2020
900579510,"Warren town, Litchfield County, Connecticut",9005,CT,8,0,28,1078,1106,9,40,1021,municipality,2020
900579720,"Washington town, Litchfield County, Connecticut",9005,CT,41,22,144,2889,3033,19,73,2734,municipality,2020
900580490,"Watertown town, Litchfield County, Connecticut",9005,CT,331,319,896,17059,17955,105,395,15909,municipality,2020
900586440,"Winchester town, Litchfield County, Connecticut",9005,CT,90,101,463,8090,8553,52,300,7547,municipality,2020
900587910,"Woodbury town, Litchfield County, Connecticut",9005,CT,117,97,330,7824,8154,62,220,7328,municipality,2020
900900000,"County subdivisions not defined, New Haven County, Connecticut",9009,CT,0,0,0,0,0,0,0,0,municipality,2020
900901220,"Ansonia town, New Haven County, Connecticut",9009,CT,294,1773,2982,11962,14944,102,477,9316,municipality,2020
900903250,"Beacon Falls town, New Haven County, Connecticut",9009,CT,68,93,275,4609,4884,37,129,4282,municipality,2020
900904580,"Bethany town, New Haven County, Connecticut",9009,CT,188,80,130,4125,4255,21,109,3727,municipality,2020
900907310,"Branford town, New Haven County, Connecticut",9009,CT,1057,535,1311,22904,24215,125,555,20632,municipality,2020
900914160,"Cheshire town, New Haven County, Connecticut",9009,CT,1303,1053,1266,21477,22743,98,501,18522,municipality,2020
900919550,"Derby town, New Haven County, Connecticut",9009,CT,273,957,1771,8215,9986,65,224,6696,municipality,2020
900922910,"East Haven town, New Haven County, Connecticut",9009,CT,864,995,3487,19806,23293,118,509,17320,municipality,2020
900934950,"Guilford town, New Haven County, Connecticut",9009,CT,591,162,715,16902,17617,51,464,15634,municipality,2020
900935650,"Hamden town, New Haven County, Connecticut",9009,CT,2730,11648,5608,45050,50658,417,1348,28907,municipality,2020
900944560,"Madison town, New Haven County, Connecticut",9009,CT,441,106,418,13752,14170,65,305,12835,municipality,2020
900946520,"Meriden town, New Haven County, Connecticut",9009,CT,1018,4299,15192,32349,47541,263,1341,25428,municipality,2020
900946940,"Middlebury town, New Haven County, Connecticut",9009,CT,274,57,209,5717,5926,18,114,5254,municipality,2020
900947535,"Milford town, New Haven County, Connecticut",9009,CT,2175,1210,2895,40649,43544,279,1214,35771,municipality,2020
900949950,"Naugatuck town, New Haven County, Connecticut",9009,CT,548,1633,3135,21737,24872,420,1133,18003,municipality,2020
900952070,"New Haven town, New Haven County, Connecticut",9009,CT,7869,30963,28498,76512,105010,992,3334,33354,municipality,2020
900953890,"North Branford town, New Haven County, Connecticut",9009,CT,194,123,438,10647,11085,26,199,10105,municipality,2020
900954870,"North Haven town, New Haven County, Connecticut",9009,CT,1144,697,1007,18764,19771,103,343,16477,municipality,2020
900957600,"Orange town, New Haven County, Connecticut",9009,CT,1094,204,452,10787,11239,54,271,9164,municipality,2020
900958300,"Oxford town, New Haven County, Connecticut",9009,CT,164,99,433,9749,10182,41,226,9219,municipality,2020
900962290,"Prospect town, New Haven County, Connecticut",9009,CT,82,150,289,7294,7583,27,198,6837,municipality,2020
900967610,"Seymour town, New Haven County, Connecticut",9009,CT,319,536,1165,12321,13486,78,322,11066,municipality,2020
900969640,"Southbury town, New Haven County, Connecticut",9009,CT,448,144,557,15973,16530,68,359,14954,municipality,2020
900978740,"Wallingford town, New Haven County, Connecticut",9009,CT,1353,642,3242,33014,36256,178,901,29940,municipality,2020
900980070,"Waterbury town, New Haven County, Connecticut",9009,CT,1771,16799,30304,55752,86056,1543,3033,32606,municipality,2020
900982870,"West Haven town, New Haven County, Connecticut",9009,CT,2083,9013,9264,35852,45116,361,1328,23067,municipality,2020
900987560,"Wolcott town, New Haven County, Connecticut",9009,CT,199,290,672,12391,13063,79,349,11474,municipality,2020
900987700,"Woodbridge town, New Haven County, Connecticut",9009,CT,867,207,334,6635,6969,66,164,5331,municipality,2020
3400300700,"Allendale borough, Bergen County, New Jersey",34003,INJ,612,38,326,4893,5219,14,103,4126,municipality,2020
3400301090,"Alpine borough, Bergen County, New Jersey",34003,INJ,459,41,89,1314,1403,3,29,782,municipality,2020
3400305170,"Bergenfield borough, Bergen County, New Jersey",34003,INJ,5993,1529,6721,15235,21956,202,313,7198,municipality,2020
3400306490,"Bogota borough, Bergen County, New Jersey",34003,INJ,613,464,3368,3616,6984,77,132,2330,municipality,2020
3400310480,"Carlstadt borough, Bergen County, New Jersey",34003,INJ,513,95,1155,4047,5202,38,92,3309,municipality,2020
3400313570,"Cliffside Park borough, Bergen County, New Jersey",34003,INJ,3289,540,6801,14305,21106,277,549,9650,municipality,2020
3400313810,"Closter borough, Bergen County, New Jersey",34003,INJ,2184,66,513,5938,6451,25,149,3514,municipality,2020
3400315820,"Cresskill borough, Bergen County, New Jersey",34003,INJ,2012,57,445,6323,6768,15,115,4124,municipality,2020
3400317530,"Demarest borough, Bergen County, New Jersey",34003,INJ,1130,31,186,3506,3692,23,78,2244,municipality,2020
3400318400,"Dumont borough, Bergen County, New Jersey",34003,INJ,2493,370,2732,11519,14251,79,282,8295,municipality,2020
3400319510,"East Rutherford borough, Bergen County, New Jersey",34003,INJ,1270,347,1936,6298,8234,92,157,4432,municipality,2020
3400320020,"Edgewater borough, Bergen County, New Jersey",34003,INJ,4005,622,1501,10116,11617,77,270,5142,municipality,2020
3400321300,"Elmwood Park borough, Bergen County, New Jersey",34003,INJ,1929,1099,4434,12765,17199,201,302,9234,municipality,2020
3400321450,"Emerson borough, Bergen County, New Jersey",34003,INJ,567,81,622,5133,5755,18,101,4366,municipality,2020
3400321480,"Englewood city, Bergen County, New Jersey",34003,INJ,2521,5934,7300,15913,23213,251,553,6654,municipality,2020
3400321510,"Englewood Cliffs borough, Bergen County, New Jersey",34003,INJ,1982,76,260,3969,4229,14,49,1848,municipality,2020
3400322470,"Fair Lawn borough, Bergen County, New Jersey",34003,INJ,3297,600,3758,23254,27012,125,460,18772,municipality,2020
3400322560,"Fairview borough, Bergen County, New Jersey",34003,INJ,618,202,7516,4170,11686,172,234,2944,municipality,2020
3400324420,"Fort Lee borough, Bergen County, New Jersey",34003,INJ,13804,941,4152,29170,33322,195,557,13673,municipality,2020
3400324990,"Franklin Lakes borough, Bergen County, New Jersey",34003,INJ,833,119,539,8024,8563,29,135,6908,municipality,2020
3400325770,"Garfield city, Bergen County, New Jersey",34003,INJ,803,1237,9208,16029,25237,163,305,13521,municipality,2020
3400326640,"Glen Rock borough, Bergen County, New Jersey",34003,INJ,1076,133,519,8172,8691,25,179,6759,municipality,2020
3400328680,"Hackensack city, Bergen County, New Jersey",34003,INJ,4031,7923,14785,23197,37982,362,678,10203,municipality,2020
3400330150,"Harrington Park borough, Bergen County, New Jersey",34003,INJ,743,18,185,3403,3588,14,65,2563,municipality,2020
3400330420,"Hasbrouck Heights borough, Bergen County, New Jersey",34003,INJ,1131,270,1814,7858,9672,58,176,6223,municipality,2020
3400330540,"Haworth borough, Bergen County, New Jersey",34003,INJ,416,38,122,2431,2553,10,54,1913,municipality,2020
3400331920,"Hillsdale borough, Bergen County, New Jersey",34003,INJ,566,78,742,7077,7819,40,125,6268,municipality,2020
3400332310,"Ho-Ho-Kus borough, Bergen County, New Jersey",34003,INJ,236,22,184,2915,3099,19,32,2606,municipality,2020
3400340020,"Leonia borough, Bergen County, New Jersey",34003,INJ,2997,169,1207,6070,7277,26,123,2755,municipality,2020
3400340680,"Little Ferry borough, Bergen County, New Jersey",34003,INJ,2323,390,2666,6386,9052,65,169,3439,municipality,2020
3400341100,"Lodi borough, Bergen County, New Jersey",34003,INJ,1802,1592,8003,13001,21004,137,354,9116,municipality,2020
3400342090,"Lyndhurst township, Bergen County, New Jersey",34003,INJ,1377,505,4506,13882,18388,149,390,11461,municipality,2020
3400342750,"Mahwah township, Bergen County, New Jersey",34003,INJ,2196,592,1637,19726,21363,147,453,16338,municipality,2020
3400344880,"Maywood borough, Bergen County, New Jersey",34003,INJ,1142,450,1897,6183,8080,66,131,4394,municipality,2020
3400346110,"Midland Park borough, Bergen County, New Jersey",34003,INJ,189,59,489,5096,5585,24,88,4736,municipality,2020
3400347610,"Montvale borough, Bergen County, New Jersey",34003,INJ,938,98,436,6056,6492,15,110,4895,municipality,2020
3400347700,"Moonachie borough, Bergen County, New Jersey",34003,INJ,270,15,939,1547,2486,14,33,1215,municipality,2020
3400351660,"New Milford borough, Bergen County, New Jersey",34003,INJ,2824,618,2410,11166,13576,98,276,7350,municipality,2020
3400352320,"North Arlington borough, Bergen County, New Jersey",34003,INJ,956,230,3869,9578,13447,115,341,7936,municipality,2020
3400353430,"Northvale borough, Bergen County, New Jersey",34003,INJ,974,41,411,3350,3761,13,82,2240,municipality,2020
3400353610,"Norwood borough, Bergen County, New Jersey",34003,INJ,1366,51,284,4146,4430,5,68,2656,municipality,2020
3400353850,"Oakland borough, Bergen County, New Jersey",34003,INJ,479,104,791,9160,9951,33,226,8318,municipality,2020
3400354870,"Old Tappan borough, Bergen County, New Jersey",34003,INJ,1183,44,271,4279,4550,7,79,2966,municipality,2020
3400354990,"Oradell borough, Bergen County, New Jersey",34003,INJ,896,51,502,5793,6295,27,101,4718,municipality,2020
3400355770,"Palisades Park borough, Bergen County, New Jersey",34003,INJ,10443,213,3516,13422,16938,64,166,2536,municipality,2020
3400355950,"Paramus borough, Bergen County, New Jersey",34003,INJ,5459,356,2053,19538,21591,114,557,13052,municipality,2020
3400356130,"Park Ridge borough, Bergen County, New Jersey",34003,INJ,501,77,621,6490,7111,27,111,5774,municipality,2020
3400361680,"Ramsey borough, Bergen County, New Jersey",34003,INJ,893,100,905,10517,11422,51,180,9293,municipality,2020
3400362910,"Ridgefield borough, Bergen County, New Jersey",34003,INJ,2781,153,2489,6841,9330,93,156,3658,municipality,2020
3400362940,"Ridgefield Park village, Bergen County, New Jersey",34003,INJ,1207,523,4629,5972,10601,68,225,3949,municipality,2020
3400363000,"Ridgewood village, Bergen County, New Jersey",34003,INJ,3150,266,1309,17149,18458,65,449,13219,municipality,2020
3400363360,"River Edge borough, Bergen County, New Jersey",34003,INJ,2427,213,957,8107,9064,33,149,5285,municipality,2020
3400363690,"River Vale township, Bergen County, New Jersey",34003,INJ,736,95,502,7215,7717,27,131,6226,municipality,2020
3400363990,"Rochelle Park township, Bergen County, New Jersey",34003,INJ,510,163,1157,3654,4811,25,99,2857,municipality,2020
3400364170,"Rockleigh borough, Bergen County, New Jersey",34003,INJ,27,9,15,335,350,1,7,291,municipality,2020
3400365280,"Rutherford borough, Bergen County, New Jersey",34003,INJ,2115,551,2537,12507,15044,126,418,9297,municipality,2020
3400365340,"Saddle Brook township, Bergen County, New Jersey",34003,INJ,1015,361,1967,9619,11586,42,173,8028,municipality,2020
3400365400,"Saddle River borough, Bergen County, New Jersey",34003,INJ,367,54,156,2645,2801,23,55,2146,municipality,2020
3400368970,"South Hackensack township, Bergen County, New Jersey",34003,INJ,148,102,895,1229,2124,13,29,937,municipality,2020
3400372360,"Teaneck township, Bergen County, New Jersey",34003,INJ,3579,7636,6554,25214,31768,441,917,12641,municipality,2020
3400372420,"Tenafly borough, Bergen County, New Jersey",34003,INJ,3216,162,756,10107,10863,59,234,6436,municipality,2020
3400372480,"Teterboro borough, Bergen County, New Jersey",34003,INJ,1,5,16,28,44,0,1,21,municipality,2020
3400375140,"Upper Saddle River borough, Bergen County, New Jersey",34003,INJ,898,94,354,5898,6252,21,145,4740,municipality,2020
3400376400,"Waldwick borough, Bergen County, New Jersey",34003,INJ,488,86,870,6810,7680,19,124,6093,municipality,2020
3400376490,"Wallington borough, Bergen County, New Jersey",34003,INJ,576,271,1677,8035,9712,81,120,6987,municipality,2020
3400377135,"Washington township, Bergen County, New Jersey",34003,INJ,461,68,526,6826,7352,13,112,6172,municipality,2020
3400380270,"Westwood borough, Bergen County, New Jersey",34003,INJ,724,373,1160,7822,8982,26,202,6497,municipality,2020
3400382300,"Woodcliff Lake borough, Bergen County, New Jersey",34003,INJ,402,46,282,4413,4695,14,89,3862,municipality,2020
3400382570,"Wood-Ridge borough, Bergen County, New Jersey",34003,INJ,1310,266,1264,6867,8131,62,127,5102,municipality,2020
3400383050,"Wyckoff township, Bergen County, New Jersey",34003,INJ,654,63,955,11612,12567,19,242,10634,municipality,2020
3401304695,"Belleville township, Essex County, New Jersey",34013,INJ,3584,2512,14399,16333,30732,411,626,9200,municipality,2020
3401306260,"Bloomfield township, Essex County, New Jersey",34013,INJ,3817,8009,11794,30956,42750,598,1347,17185,municipality,2020
3401309250,"Caldwell borough, Essex County, New Jersey",34013,INJ,468,388,968,6511,7479,45,140,5470,municipality,2020
3401311200,"Cedar Grove township, Essex County, New Jersey",34013,INJ,837,268,1078,9432,10510,63,219,8045,municipality,2020
3401313045,"City of Orange township, Essex County, New Jersey",34013,INJ,251,16778,6973,19097,26070,209,943,916,municipality,2020
3401319390,"East Orange city, Essex County, New Jersey",34013,INJ,428,42375,6278,47318,53596,613,2643,1259,municipality,2020
3401321840,"Essex Fells borough, Essex County, New Jersey",34013,INJ,72,18,83,1594,1677,4,35,1465,municipality,2020
3401322385,"Fairfield township, Essex County, New Jersey",34013,INJ,275,24,475,5704,6179,19,99,5287,municipality,2020
3401326610,"Glen Ridge borough, Essex County, New Jersey",34013,INJ,424,232,329,5112,5441,30,202,4224,municipality,2020
3401334450,"Irvington township, Essex County, New Jersey",34013,INJ,361,36682,6168,39947,46115,373,1646,885,municipality,2020
3401340890,"Livingston township, Essex County, New Jersey",34013,INJ,6348,693,1094,22229,23323,140,384,14664,municipality,2020
3401343800,"Maplewood township, Essex County, New Jersey",34013,INJ,782,6048,1435,17341,18776,140,743,9628,municipality,2020
3401346380,"Millburn township, Essex County, New Jersey",34013,INJ,4627,332,652,14635,15287,92,369,9215,municipality,2020
3401347500,"Montclair township, Essex County, New Jersey",34013,INJ,1633,7432,3062,28318,31380,360,1255,17638,municipality,2020
3401351000,"Newark city, Essex County, New Jersey",34013,INJ,4188,111203,82955,152171,235126,5934,9609,21237,municipality,2020
3401352620,"North Caldwell borough, Essex County, New Jersey",34013,INJ,381,57,285,4758,5043,8,93,4219,municipality,2020
3401353680,"Nutley township, Essex County, New Jersey",34013,INJ,2755,761,4083,19989,24072,147,472,15854,municipality,2020
3401364590,"Roseland borough, Essex County, New Jersey",34013,INJ,421,152,278,4859,5137,26,93,4167,municipality,2020
3401369274,"South Orange Village township, Essex County, New Jersey",34013,INJ,1036,3172,1227,13333,14560,228,512,8385,municipality,2020
3401375815,"Verona township, Essex County, New Jersey",34013,INJ,552,273,921,10398,11319,44,229,9300,municipality,2020
3401378510,"West Caldwell township, Essex County, New Jersey",34013,INJ,376,111,647,7950,8597,44,188,7231,municipality,2020
3401379800,"West Orange township, Essex County, New Jersey",34013,INJ,2965,10655,6783,31556,38339,356,1273,16307,municipality,2020
3401703580,"Bayonne city, Hudson County, New Jersey",34017,INJ,5505,5500,15855,39992,55847,494,1314,27179,municipality,2020
3401719360,"East Newark borough, Hudson County, New Jersey",34017,INJ,231,49,1228,829,2057,58,57,434,municipality,2020
3401728650,"Guttenberg town, Hudson County, New Jersey",34017,INJ,921,304,6067,3526,9593,67,124,2110,municipality,2020
3401730210,"Harrison town, Hudson County, New Jersey",34017,INJ,4391,642,5864,10240,16104,401,646,4160,municipality,2020
3401732250,"Hoboken city, Hudson County, New Jersey",34017,INJ,5513,1885,6738,44284,51022,411,1291,35184,municipality,2020
3401736000,"Jersey City city, Hudson County, New Jersey",34017,INJ,68293,42352,55476,180269,235745,3750,6586,59288,municipality,2020
3401736510,"Kearny town, Hudson County, New Jersey",34017,INJ,1761,1118,15360,18139,33499,1038,1610,12612,municipality,2020
3401752470,"North Bergen township, Hudson County, New Jersey",34017,INJ,3692,1231,35685,15580,51265,409,658,9590,municipality,2020
3401766570,"Secaucus town, Hudson County, New Jersey",34017,INJ,5635,760,3643,14475,18118,107,316,7657,municipality,2020
3401774630,"Union City city, Hudson County, New Jersey",34017,INJ,2082,1149,43377,9723,53100,343,520,5629,municipality,2020
3401777930,"Weehawken township, Hudson County, New Jersey",34017,INJ,2216,571,4531,9831,14362,99,346,6599,municipality,2020
3401779610,"West New York town, Hudson County, New Jersey",34017,INJ,3151,1071,31343,10696,42039,301,490,5683,municipality,2020
3401900550,"Alexandria township, Hunterdon County, New Jersey",34019,ONJ,78,55,191,3674,3865,31,104,3406,municipality,2020
3401905650,"Bethlehem township, Hunterdon County, New Jersey",34019,ONJ,72,28,129,2844,2973,8,71,2665,municipality,2020
3401906370,"Bloomsbury borough, Hunterdon County, New Jersey",34019,ONJ,11,18,36,622,658,4,16,573,municipality,2020
3401909280,"Califon borough, Hunterdon County, New Jersey",34019,ONJ,11,1,27,770,797,6,26,726,municipality,2020
3401913720,"Clinton town, Hunterdon County, New Jersey",34019,ONJ,175,42,198,1964,2162,14,45,1688,municipality,2020
3401913750,"Clinton township, Hunterdon County, New Jersey",34019,ONJ,588,723,814,10126,10940,49,262,8504,municipality,2020
